Date,Open,High,Low,Close,Adj Close,Volume
2004-12-31,22.299999,22.385000,22.110001,22.250000,20.092089,843000
2005-01-03,22.250000,22.275000,21.855000,22.000000,19.866325,1409000
2005-01-04,22.000000,22.075001,21.750000,21.860001,19.739906,1010400
2005-01-05,21.865000,22.049999,21.690001,22.000000,19.866325,1859600
2005-01-06,21.975000,22.065001,21.700001,22.000000,19.866325,993800
2005-01-07,22.000000,22.020000,21.885000,22.000000,19.866325,734400
2005-01-10,21.924999,22.200001,21.900000,21.995001,19.861816,599200
2005-01-11,21.975000,21.975000,21.684999,21.709999,19.604454,814200
2005-01-12,22.250000,22.875000,22.250000,22.695000,20.493925,3267200
2005-01-13,22.650000,23.049999,22.325001,22.344999,20.177862,1695800
2005-01-14,22.350000,22.485001,22.160000,22.165001,20.015326,1799800
2005-01-18,22.174999,22.350000,22.040001,22.139999,19.992750,1159400
2005-01-19,22.174999,22.495001,22.135000,22.209999,20.055960,746400
2005-01-20,22.200001,22.430000,22.025000,22.260000,20.101116,1119000
2005-01-21,22.385000,22.385000,21.924999,21.924999,19.798607,1289600
2005-01-24,21.450001,21.709999,21.325001,21.549999,19.459978,1466200
2005-01-25,21.555000,21.735001,21.315001,21.389999,19.315495,1333200
2005-01-26,21.450001,21.600000,21.275000,21.370001,19.297428,1297000
2005-01-27,21.370001,21.610001,21.350000,21.385000,19.310980,1130000
2005-01-28,21.405001,21.465000,21.100000,21.209999,19.152948,1676000
2005-01-31,21.275000,21.665001,21.275000,21.520000,19.432880,1315000
2005-02-01,21.570000,21.875000,21.545000,21.850000,19.730865,878000
2005-02-02,21.850000,21.905001,21.690001,21.780001,19.667664,504200
2005-02-03,21.725000,21.750000,21.545000,21.735001,19.627028,588600
2005-02-04,21.740000,22.365000,21.740000,22.330000,20.164316,1202200
2005-02-07,22.330000,22.500000,22.174999,22.400000,20.227530,1117600
2005-02-08,22.395000,22.440001,21.889999,21.975000,19.843756,1122800
2005-02-09,22.049999,22.120001,21.889999,21.895000,19.771509,602400
2005-02-10,22.100000,22.100000,21.875000,22.025000,19.888903,370000
2005-02-11,22.025000,22.400000,21.969999,22.400000,20.227530,744600
2005-02-14,22.500000,23.059999,22.500000,23.010000,20.778379,2410200
2005-02-15,23.014999,23.135000,22.850000,22.850000,20.633886,2003400
2005-02-16,22.879999,22.879999,22.510000,22.570000,20.381044,720400
2005-02-17,22.510000,22.520000,22.084999,22.430000,20.254631,1265400
2005-02-18,22.415001,22.625000,22.155001,22.264999,20.105633,732200
2005-02-22,22.150000,22.150000,21.915001,22.014999,19.879873,1181200
2005-02-23,22.035000,22.230000,21.855000,22.150000,20.001781,1693000
2005-02-24,22.250000,22.485001,21.945000,22.430000,20.254631,2488000
2005-02-25,22.139999,23.559999,21.875000,23.365000,21.174458,4591400
2005-02-28,23.315001,23.684999,23.190001,23.600000,21.387434,1699000
2005-03-01,23.605000,23.830000,23.500000,23.785000,21.555084,1673800
2005-03-02,23.875000,24.360001,23.875000,24.215000,21.944771,1986000
2005-03-03,24.215000,24.285000,24.120001,24.200001,21.931171,1539400
2005-03-04,24.250000,24.575001,24.240000,24.545000,22.243839,1968400
2005-03-07,24.545000,24.684999,24.445000,24.639999,22.329929,944600
2005-03-08,24.639999,24.690001,24.415001,24.500000,22.203056,881400
2005-03-09,24.500000,24.500000,24.020000,24.090000,21.831491,1553800
2005-03-10,24.094999,24.410000,24.094999,24.344999,22.062590,608600
2005-03-11,24.750000,24.930000,24.575001,24.590000,22.284615,1130800
2005-03-14,24.650000,25.000000,24.600000,24.700001,22.384302,1442200
2005-03-15,24.799999,24.885000,24.410000,24.424999,22.135088,1186400
2005-03-16,24.430000,24.674999,24.355000,24.650000,22.338987,1049800
2005-03-17,24.655001,24.940001,24.635000,24.900000,22.565548,1256000
2005-03-18,25.000000,25.000000,24.670000,24.915001,22.579149,983000
2005-03-21,24.900000,24.980000,24.049999,24.500000,22.203056,1052400
2005-03-22,24.549999,25.075001,24.549999,24.740000,22.420559,1424400
2005-03-23,24.615000,24.760000,24.405001,24.590000,22.284615,1338200
2005-03-24,24.625000,25.139999,24.549999,25.000000,22.656172,1266400
2005-03-28,25.000000,25.120001,24.900000,25.059999,22.710554,1237200
2005-03-29,26.125000,26.424999,25.770000,25.795000,23.376648,3276000
2005-03-30,25.745001,26.170000,25.590000,26.170000,23.716482,729800
2005-03-31,26.170000,26.405001,26.075001,26.200001,23.743673,1300800
2005-04-01,26.230000,26.415001,26.014999,26.170000,23.716482,1119400
2005-04-04,26.055000,26.320000,25.995001,26.100000,23.653048,843400
2005-04-05,26.100000,26.100000,25.715000,25.805000,23.385706,1446800
2005-04-06,25.730000,26.004999,25.700001,25.830000,23.408367,1278800
2005-04-07,25.950001,26.100000,25.879999,26.075001,23.630396,1243600
2005-04-08,26.139999,26.230000,25.934999,26.030001,23.589622,925800
2005-04-11,26.155001,26.535000,26.129999,26.525000,24.038202,1340200
